code_id,code_snippet,code_length,num_functions,num_classes,num_variables,num_comments,comment_density,num_imports,use_of_recursion,use_of_lambda,num_loops,complexity_score,execution_time,ai_generated
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,0.6,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.83,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,0.51,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,10.93,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,3.0,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.57,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.81,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,5.95,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,5.6,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,8.3,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,7.88,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.04,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,4.43,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,3.6,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,3.41,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.59,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,8.54,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,3.47,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,8.93,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.32,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.68,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,0.47,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,6.0,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,10.91,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.71,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.61,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.11,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,11.84,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,8.81,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,6.23,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,8.24,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,1.41,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.54,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,8.53,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,8.68,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,6.25,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.47,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.32,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.37,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.7,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.37,1
