,question,difficulty,code,num_lines,num_parameters,num_loops,sample_input,expected_output,actual_output,execution_time_ms,model
0,"Write a program that prints ""Hello, World!"" to the console.",Easy,"print(""Hello, World!"")",1,0.0,0,,"Hello, World!","Hello, World!",0.0320840044878423,gpt-4o
1,"Ask the user for their name and age, then print a greeting message.",Easy,"def greet(name, age):
    return f""Hello {name}, you are {age} years old.""
result = greet(""Alice"", 25)",3,2.0,0,"('Alice', 25)","Hello Alice, you are 25 years old.","Hello Alice, you are 25 years old.",0.0562919885851442,gpt-4o
2,Write a program that adds two user-input numbers and displays the result.,Easy,"def add(a, b):
    return a + b
result = add(3, 4)",3,2.0,0,"(3, 4)",7,7,0.0299160019494593,gpt-4o
3,Take an integer as input and print whether it is even or odd.,Easy,"def is_even(n):
    return ""Even"" if n % 2 == 0 else ""Odd""
result = is_even(5)",3,2.0,0,5,Odd,Odd,0.0374169903807342,gpt-4o
4,"Given three numbers, print the largest one.",Easy,"def find_largest(a, b, c):
    return max(a, b, c)
result = find_largest(4, 7, 2)",3,3.0,0,"(4, 7, 2)",7,7,0.0400829885620623,gpt-4o
5,Swap the values of two variables without using a third variable.,Easy,"a, b = 5, 10
a, b = b, a
result = (a, b)",3,1.0,0,"(5, 10)","(10, 5)","(10, 5)",0.0349580077454447,gpt-4o
6,Print all numbers from 1 to 100 using a for loop.,Easy,"result = list(range(1, 101))",1,2.0,0,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]",0.027874979423359,gpt-4o
7,Ask the user for a number and print its multiplication table up to 10.,Easy,"def multiplication_table(n):
    return [n * i for i in range(1, 11)]
result = multiplication_table(5)",3,3.0,1,5,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50]","[5, 10, 15, 20, 25, 30, 35, 40, 45, 50]",0.0528749951627105,gpt-4o
8,Write a function to calculate the factorial of a number using a loop.,Easy,"def factorial(n):
    result = 1
    for i in range(1, n+1):
        result *= i
    return result
result = factorial(5)",6,3.0,1,5,120,120,0.0406249891966581,gpt-4o
9,Check if a given number is a prime number.,Easy,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5)+1):
        if n % i == 0:
            return False
    return True
result = is_prime(7)",8,4.0,1,7,True,True,0.0572080025449395,gpt-4o
10,Generate and print the first `n` numbers of the Fibonacci sequence.,Easy,"def fibonacci(n):
    seq = [0, 1]
    for i in range(2, n):
        seq.append(seq[-1] + seq[-2])
    return seq[:n]
result = fibonacci(7)",6,4.0,1,7,"[0, 1, 1, 2, 3, 5, 8]","[0, 1, 1, 2, 3, 5, 8]",0.056541000958532,gpt-4o
11,Reverse a string taken from user input without using slicing.,Easy,"def reverse_string(s):
    rev = ''
    for char in s:
        rev = char + rev
    return rev
result = reverse_string('hello')",6,2.0,1,hello,olleh,olleh,0.0437500129919499,gpt-4o
12,Count the number of vowels in a given string.,Easy,"def count_vowels(s):
    return sum(1 for c in s.lower() if c in 'aeiou')
result = count_vowels('education')",3,4.0,1,education,5,5,0.0522909977007657,gpt-4o
13,Check whether a given string is a palindrome.,Easy,"def is_palindrome(s):
    return s == s[::-1]
result = is_palindrome('madam')",3,2.0,0,madam,True,True,0.030791008612141,gpt-4o
14,Write a program to find the length of a list without using `len()`.,Easy,"lst = [1, 2, 3, 4, 5]
count = 0
for _ in lst:
    count += 1
result = count",5,0.0,1,"[1, 2, 3, 4, 5]",5,5,0.0367499887943267,gpt-4o
15,Find the largest and smallest numbers in a list of integers.,Easy,"lst = [3, 7, 2, 9, 4]
result = (min(lst), max(lst))",2,3.0,0,"[3, 7, 2, 9, 4]","(2, 9)","(2, 9)",0.032249983632937,gpt-4o
16,Remove all duplicate elements from a list and print the result.,Easy,"lst = [1, 2, 2, 3, 4, 4, 5]
result = list(set(lst))",2,2.0,0,"[1, 2, 2, 3, 4, 4, 5]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.029707996873185,gpt-4o
17,Sort a list of integers in ascending order using the built-in sort() method.,Easy,"lst = [5, 2, 9, 1]
lst.sort()
result = lst",3,1.0,0,"[5, 2, 9, 1]","[1, 2, 5, 9]","[1, 2, 5, 9]",0.0260410015471279,gpt-4o
18,Calculate the sum of all numbers in a list using a loop.,Easy,"lst = [1, 2, 3, 4]
s = 0
for i in lst:
    s += i
result = s",5,0.0,1,"[1, 2, 3, 4]",10,10,0.0287089787889271,gpt-4o
19,Write a function that returns the second largest number in a list.,Easy,"def second_largest(lst):
    lst = list(set(lst))
    lst.sort()
    return lst[-2]
result = second_largest([1, 3, 2, 4, 5])",5,5.0,0,"[1, 3, 2, 4, 5]",4,4,0.0458750000689178,gpt-4o
20,Convert a temperature from Celsius to Fahrenheit.,Easy,"def celsius_to_fahrenheit(c):
    return (c * 9/5) + 32
result = celsius_to_fahrenheit(0)",3,3.0,0,0,32.0,32.0,0.0294589844997972,gpt-4o
21,Count the number of words in a sentence input by the user.,Easy,"def count_words(sentence):
    return len(sentence.split())
result = count_words(""Hello world this is Python"")",3,4.0,0,Hello world this is Python,5,5,0.0323750136885792,gpt-4o
22,Write a program that prints the ASCII value of a given character.,Easy,"char = 'A'
result = ord(char)",2,1.0,0,A,65,65,0.019250001059845,gpt-4o
23,Print each character of a string on a new line using a loop.,Easy,"s = 'Hi'
output = ''
for c in s:
    output += c + '\n'
result = output.strip()",5,1.0,1,Hi,"H
i","H
i",0.0314579810947179,gpt-4o
24,Merge two user-defined lists and print the merged result.,Easy,"lst1 = [1, 2]
lst2 = [3, 4]
result = lst1 + lst2",3,0.0,0,"([1, 2], [3, 4])","[1, 2, 3, 4]","[1, 2, 3, 4]",0.0313339987769722,gpt-4o
25,Square every element of a list using list comprehension.,Easy,"lst = [1, 2, 3, 4]
result = [x**2 for x in lst]",2,0.0,1,"[1, 2, 3, 4]","[1, 4, 9, 16]","[1, 4, 9, 16]",0.0327499874401837,gpt-4o
26,Filter out all even numbers from a list using list comprehension.,Easy,"lst = [1, 2, 3, 4, 5, 6]
result = [x for x in lst if x % 2 != 0]",2,0.0,1,"[1, 2, 3, 4, 5, 6]","[1, 3, 5]","[1, 3, 5]",0.0363340077456086,gpt-4o
27,Write a function that returns the sum of digits of an integer.,Easy,"def sum_of_digits(n):
    return sum(int(d) for d in str(n))
result = sum_of_digits(1234)",3,5.0,1,1234,10,10,0.0403749872930347,gpt-4o
28,Find the maximum of three numbers using a user-defined function.,Easy,"def max_of_three(a, b, c):
    return max(a, b, c)
result = max_of_three(3, 7, 5)",3,3.0,0,"(3, 7, 5)",7,7,0.031208008294925,gpt-4o
29,Create a list of numbers from 1 to 20 using `range()` and print it.,Easy,"result = list(range(1, 21))",1,2.0,0,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.0201250077225267,gpt-4o
30,Convert a string to uppercase without using the `upper()` function.,Easy,"s = 'hello'
result = ''.join(chr(ord(c)-32) if 'a' <= c <= 'z' else c for c in s)",2,3.0,1,hello,HELLO,HELLO,0.0477079884149134,gpt-4o
31,Count how many times a specific character appears in a string.,Easy,"s = 'hello world'
result = s.count('l')",2,1.0,0,hello world,3,3,0.0183749943971633,gpt-4o
32,Replace all spaces in a string with underscores.,Easy,"s = 'hello world'
result = s.replace(' ', '_')",2,1.0,0,hello world,hello_world,hello_world,0.0177500187419354,gpt-4o
33,"Write a function to check if a number is positive, negative, or zero.",Easy,"def check_sign(n):
    return 'Positive' if n > 0 else 'Negative' if n < 0 else 'Zero'
result = check_sign(-5)",3,2.0,0,-5,Negative,Negative,0.0378330005332827,gpt-4o
34,Create a dictionary with 3 key-value pairs and print it.,Easy,"d = {'a': 1, 'b': 2, 'c': 3}
result = d",2,0.0,0,,"{'a': 1, 'b': 2, 'c': 3}","{'a': 1, 'b': 2, 'c': 3}",0.0243329850491136,gpt-4o
35,Access a specific value from a dictionary using a key.,Easy,"d = {'x': 10, 'y': 20}
result = d['x']",2,0.0,0,,10,10,0.0216669868677854,gpt-4o
36,Add a new key-value pair to an existing dictionary.,Easy,"d = {'x': 10}
d['y'] = 20
result = d",3,0.0,0,,"{'x': 10, 'y': 20}","{'x': 10, 'y': 20}",0.0212090089917182,gpt-4o
37,Delete a key-value pair from a dictionary.,Easy,"d = {'x': 10, 'y': 20}
d.pop('x')
result = d",3,1.0,0,,{'y': 20},{'y': 20},0.0242079840973019,gpt-4o
38,Create a tuple with 5 elements and print the second element.,Easy,"t = (1, 2, 3, 4, 5)
result = t[1]",2,1.0,0,,2,2,0.0217080232687294,gpt-4o
39,Convert a list to a tuple and print the result.,Easy,"lst = [1, 2, 3]
result = tuple(lst)",2,1.0,0,,"(1, 2, 3)","(1, 2, 3)",0.0215000181924551,gpt-4o
40,Check if an element exists in a list.,Easy,"lst = [1, 2, 3]
result = 2 in lst",2,0.0,0,,True,True,0.0192919978871941,gpt-4o
41,Check if a key exists in a dictionary.,Easy,"d = {'a': 1, 'b': 2}
result = 'b' in d",2,0.0,0,,True,True,0.019250001059845,gpt-4o
42,Write a program to calculate the area of a rectangle given length and width.,Easy,"def area(length, width):
    return length * width
result = area(5, 3)",3,2.0,0,"(5, 3)",15,15,0.027874979423359,gpt-4o
43,Create a set with 5 elements and print it.,Easy,"s = {1, 2, 3, 4, 5}
result = s",2,0.0,0,,"{1, 2, 3, 4, 5}","{1, 2, 3, 4, 5}",0.0240420049522072,gpt-4o
44,Add an element to a set and remove another.,Easy,"s = {1, 2, 3}
s.add(4)
s.remove(2)
result = s",4,2.0,0,,"{1, 3, 4}","{1, 3, 4}",0.0294169876724481,gpt-4o
45,Find the union and intersection of two sets.,Easy,"a = {1, 2, 3}
b = {2, 3, 4}
result = (a | b, a & b)",3,1.0,0,,"({1, 2, 3, 4}, {2, 3})","({1, 2, 3, 4}, {2, 3})",0.0356250093318522,gpt-4o
46,Find the number of digits in an integer.,Easy,"n = 12345
result = len(str(n))",2,2.0,0,12345,5,5,0.0194580061361193,gpt-4o
47,Check whether a given year is a leap year.,Easy,"def is_leap_year(year):
    return year % 4 == 0 and (year % 100 != 0 or year % 400 == 0)
result = is_leap_year(2020)",3,3.0,0,2020,True,True,0.0368749897461384,gpt-4o
48,Create a list of the first 10 even numbers using a loop.,Easy,"result = [i for i in range(1, 21) if i % 2 == 0][:10]",1,1.0,1,,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]",0.0359590048901736,gpt-4o
49,Write a function that accepts a string and returns it reversed using recursion.,Easy,"def reverse_recursive(s):
    return s if len(s) == 0 else reverse_recursive(s[1:]) + s[0]
result = reverse_recursive('hello')",3,4.0,0,hello,olleh,name 'reverse_recursive' is not defined,0.0512079859618097,gpt-4o
50,Write a function that finds the GCD of two numbers using the Euclidean algorithm.,Medium,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
result = gcd(48, 18)",5,2.0,1,"(48, 18)",6,6,0.0357500102836638,gpt-4o
51,Implement a function to check whether a string is a pangram.,Medium,"import string
def is_pangram(s):
    return set(string.ascii_lowercase).issubset(s.lower())
result = is_pangram('The quick brown fox jumps over the lazy dog')",4,5.0,0,The quick brown fox jumps over the lazy dog,True,name 'string' is not defined,0.0422919983975589,gpt-4o
52,Write a function that returns the most frequent element in a list.,Medium,"from collections import Counter
def most_frequent(lst):
    return Counter(lst).most_common(1)[0][0]
result = most_frequent([1, 2, 2, 3, 3, 3])",4,4.0,0,"[1, 2, 2, 3, 3, 3]",3,name 'Counter' is not defined,0.0556670129299163,gpt-4o
53,Implement a binary search algorithm on a sorted list.,Medium,"def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1
result = binary_search([1, 3, 5, 7, 9], 7)",12,4.0,1,"([1, 3, 5, 7, 9], 7)",3,3,0.0861249864101409,gpt-4o
54,Write a function to calculate the power of a number without using the power operator.,Medium,"def power(x, y):
    result = 1
    for _ in range(y):
        result *= x
    return result
result = power(2, 5)",6,3.0,1,"(2, 5)",32,32,0.037332996726036,gpt-4o
55,"Given a list of integers, return the longest increasing subsequence.",Medium,"def longest_increasing_subsequence(lst):
    result = []
    temp = []
    for i in lst:
        if not temp or i > temp[-1]:
            temp.append(i)
        else:
            if len(temp) > len(result):
                result = temp
            temp = [i]
    return result if len(result) > len(temp) else temp
result = longest_increasing_subsequence([1, 2, 1, 2, 3, 1])",12,7.0,1,"[1, 2, 1, 2, 3, 1]","[1, 2, 3]","[1, 2, 3]",0.088375003542751,gpt-4o
56,Check if two strings are anagrams of each other.,Medium,"def are_anagrams(s1, s2):
    return sorted(s1) == sorted(s2)
result = are_anagrams('listen', 'silent')",3,4.0,0,"('listen', 'silent')",True,True,0.0329169852193445,gpt-4o
57,"Implement a stack using a Python list with push, pop, and peek operations.",Medium,"class Stack:
    def __init__(self):
        self.items = []
    def push(self, item):
        self.items.append(item)
    def pop(self):
        return self.items.pop()
    def peek(self):
        return self.items[-1]
s = Stack()
s.push(1)
s.push(2)
result = s.pop()",13,10.0,0,,2,2,0.1088340068235993,gpt-4o
58,Create a function that generates all prime numbers up to a given number.,Medium,"def generate_primes(n):
    primes = []
    for num in range(2, n+1):
        if all(num % p != 0 for p in primes):
            primes.append(num)
    return primes
result = generate_primes(10)",7,5.0,2,10,"[2, 3, 5, 7]","[2, 3, 5, 7]",0.0729589955881238,gpt-4o
59,Write a function that flattens a nested list.,Medium,"def flatten(lst):
    flat = []
    for item in lst:
        if isinstance(item, list):
            flat.extend(flatten(item))
        else:
            flat.append(item)
    return flat
result = flatten([1, [2, [3, 4], 5]])",9,6.0,1,"[1, [2, [3, 4], 5]]","[1, 2, 3, 4, 5]",name 'flatten' is not defined,0.0724580022506415,gpt-4o
60,Check if a string has balanced parentheses.,Medium,"def is_balanced(s):
    stack = []
    for c in s:
        if c == '(': stack.append(c)
        elif c == ')':
            if not stack: return False
            stack.pop()
    return not stack
result = is_balanced('(())()')",9,8.0,1,(())(),True,True,0.0578749750275164,gpt-4o
61,Write a function to calculate the nth Fibonacci number using recursion with memoization.,Medium,"def fib(n, memo={}):
    if n in memo: return memo[n]
    if n <= 1: return n
    memo[n] = fib(n-1, memo) + fib(n-2, memo)
    return memo[n]
result = fib(10)",6,4.0,0,10,55,name 'fib' is not defined,0.0648330023977905,gpt-4o
62,Implement the Caesar cipher for encryption and decryption.,Medium,"def caesar_cipher(text, shift):
    result = ''
    for char in text:
        if char.isalpha():
            base = ord('A') if char.isupper() else ord('a')
            result += chr((ord(char) - base + shift) % 26 + base)
        else:
            result += char
    return result
result = caesar_cipher('abc', 3)",10,9.0,1,"('abc', 3)",def,def,0.0770420010667294,gpt-4o
63,Write a function that removes all duplicates from a string while preserving the order.,Medium,"def remove_duplicates(s):
    seen = set()
    result = ''
    for c in s:
        if c not in seen:
            seen.add(c)
            result += c
    return result
result = remove_duplicates('banana')",9,4.0,1,banana,ban,ban,0.0475829874631017,gpt-4o
64,Find the first non-repeating character in a string.,Medium,"def first_unique_char(s):
    from collections import Counter
    count = Counter(s)
    for c in s:
        if count[c] == 1:
            return c
    return None
result = first_unique_char('swiss')",8,3.0,1,swiss,w,w,0.0562500208616256,gpt-4o
65,Calculate the sum of all even numbers in a matrix.,Medium,"matrix = [[1,2],[3,4]]
result = sum(num for row in matrix for num in row if num % 2 == 0)",2,1.0,2,"[[1, 2], [3, 4]]",6,6,0.0477499852422624,gpt-4o
66,"Given a 2D matrix, transpose it.",Medium,"matrix = [[1,2],[3,4]]
result = [[matrix[j][i] for j in range(len(matrix))] for i in range(len(matrix[0]))]",2,4.0,2,"[[1, 2], [3, 4]]","[[1, 3], [2, 4]]",name 'matrix' is not defined,0.0674590119160711,gpt-4o
67,Implement a queue using two stacks.,Medium,"class QueueWithStacks:
    def __init__(self):
        self.in_stack = []
        self.out_stack = []
    def enqueue(self, x):
        self.in_stack.append(x)
    def dequeue(self):
        if not self.out_stack:
            while self.in_stack:
                self.out_stack.append(self.in_stack.pop())
        return self.out_stack.pop()
q = QueueWithStacks()
q.enqueue(1)
q.enqueue(2)
result = q.dequeue()",15,11.0,1,,1,1,0.1091670128516852,gpt-4o
68,Write a function that rotates a list by k elements to the right.,Medium,"def rotate_list(lst, k):
    k = k % len(lst)
    return lst[-k:] + lst[:-k]
result = rotate_list([1, 2, 3, 4, 5], 2)",4,3.0,0,"([1, 2, 3, 4, 5], 2)","[4, 5, 1, 2, 3]","[4, 5, 1, 2, 3]",0.0453749962616711,gpt-4o
